calle,num,latitud,longitud,idAcc,desconocidos,ilesos,leves,graves,muertos
CALLE DE ARTURO SORIA - CALLE DE MATIAS TURRION,0,40.4586826,-3.6589304,2018/4699,0,2,1,0,0
CALLE DE ARTURO SORIA - CALLE DE NAVARRO AMANDI,0,40.4598709,-3.6611427,2018/10833,0,3,1,0,0
CALLE DE ARTURO SORIA - CALLE DE NAVARRO AMANDI,0,40.4598709,-3.6611427,2018/1119,0,2,1,0,0
CALLE DE ARTURO SORIA - CALLE DE NAVARRO AMANDI,0,40.4598709,-3.6611427,2018/4212,0,0,2,0,0
CALLE DE ARTURO SORIA - CALLE DE NAVARRO AMANDI,0,40.4598709,-3.6611427,2018/8599,0,2,4,0,0
CALLE DE ARTURO SORIA - CALLE DE NAVARRO AMANDI,0,40.4598709,-3.6611427,2018/9844,0,3,1,0,0
CALLE DE ARTURO SORIA - CALLE DE PIQUER,0,40.4653012,-3.6655718,2018/1751,0,1,1,0,0
CALLE DE ARTURO SORIA - CALLE DE PIQUER,0,40.4653012,-3.6655718,2018/1759,0,0,1,0,0
CALLE DE ARTURO SORIA - CALLE DE RAMIREZ DE ARELLANO,0,40.450098,-3.6516857,2018/2330,0,2,1,0,0
CALLE DE ARTURO SORIA - CALLE DE RAMIREZ DE ARELLANO,0,40.450098,-3.6516857,2018/7306,0,1,1,0,0
CALLE DE ARTURO SORIA - CALLE DE RAMONET,0,40.4689361,-3.6665783,2018/2378,0,3,1,0,0
CALLE DE ARTURO SORIA - CALLE DEL ESTRECHO DE MESINA,0,40.451806,-3.652937,2018/13778,0,1,1,0,0
CALLE DE ARTURO SORIA - CALLE DEL GENERAL KIRKPATRICK,0,40.4456365,-3.6472635,2018/15703,0,2,1,0,0
CALLE DE ARTURO SORIA - CALLE DEL JAZMIN,0,40.4764443,-3.6685024,2018/2818,0,2,1,0,0
CALLE DE ARTURO SORIA - CALLE DEL MARQUES DE PICO VELASCO,0,40.4442304,-3.644081,2018/13339,0,0,2,0,0
