FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2000,Madrid,V,"D1,D1+E",0,0,0,4,9,2,0,0,15
11/03/2019,2000,Madrid,V,"D1,D1+E,A,",0,0,0,0,2,0,0,0,2
11/03/2019,2000,Madrid,V,LVA,0,0,0,0,1,4,5,4,14
11/03/2019,2000,Madrid,V,Otros,0,0,0,10.608,15.436,11.999,4.065,797,42905
11/03/2019,2001,Madrid,M,A,0,0,0,0,0,1,0,0,1
11/03/2019,2001,Madrid,M,AM,0,0,6,8,8,3,1,1,27
11/03/2019,2001,Madrid,M,B,0,0,2,10.059,2.295,642,126,11,13135
11/03/2019,2001,Madrid,M,"B,A,A2",0,0,0,64,86,8,0,0,158
11/03/2019,2001,Madrid,M,"B,A1",0,0,0,67,38,13,3,0,121
11/03/2019,2001,Madrid,M,"B,B+E",0,0,0,1,7,1,0,1,10
11/03/2019,2001,Madrid,M,"B,B+E,A,A2",0,0,0,1,0,1,0,0,2
11/03/2019,2001,Madrid,M,"B,B+E,A1",0,0,0,0,0,1,0,0,1
11/03/2019,2001,Madrid,M,BTP,0,0,0,0,0,2,2,0,4
11/03/2019,2001,Madrid,M,C,0,0,0,6,5,1,0,0,12
11/03/2019,2001,Madrid,M,"C,A,A2",0,0,0,1,0,0,0,0,1
11/03/2019,2001,Madrid,M,"C,C+E",0,0,0,2,0,0,0,0,2
11/03/2019,2001,Madrid,M,"C,C+E,A,A2",0,0,0,1,0,0,0,0,1
11/03/2019,2001,Madrid,M,"C1,A1",0,0,0,0,0,1,0,0,1
11/03/2019,2001,Madrid,M,"C1,C1+E,A,",0,0,0,2,0,0,0,0,2
11/03/2019,2001,Madrid,M,D ,0,0,0,3,2,1,1,0,7
11/03/2019,2001,Madrid,M,"D,A,A2",0,0,0,0,1,0,0,0,1
11/03/2019,2001,Madrid,M,"D,D+E",0,0,0,1,1,1,0,0,3
11/03/2019,2001,Madrid,M,"D,D+E,A,A2",0,0,0,0,1,0,0,0,1
11/03/2019,2001,Madrid,M,Otros,0,0,0,956,174,35,4,0,1169
11/03/2019,2001,Madrid,V,A,0,0,0,0,0,1,0,0,1
11/03/2019,2001,Madrid,V,AM,0,0,21,56,26,8,3,2,116
11/03/2019,2001,Madrid,V,B,0,0,5,8.165,1.161,274,61,9,9675
11/03/2019,2001,Madrid,V,"B,A,A2",0,0,0,508,506,94,13,1,1122
11/03/2019,2001,Madrid,V,"B,A1",0,0,0,124,78,41,13,1,257
11/03/2019,2001,Madrid,V,"B,B+E",0,0,0,19,18,8,1,1,47
11/03/2019,2001,Madrid,V,"B,B+E,A,A2",0,0,0,10,18,7,3,0,38
11/03/2019,2001,Madrid,V,"B,B+E,A1",0,0,0,1,2,2,2,2,9
