sexo,permiso,anyo,total
V,A2,2005,143955
V,A2,2006,147239
V,A2,2007,151208
V,A2,2008,156209
V,A2,2009,162598
V,A2,2010,169962
V,A2,2011,175065
V,A2,2012,177665
V,A2,2013,180364
V,A2,2014,183309
V,A2,2015,186499
V,A2,2016,190970
V,A2,2017,196527
V,A2,2018,203219
V,A2,2019,204757
V,AM,2000,17205
V,AM,2001,17321
V,AM,2002,17429
V,AM,2003,17533
V,AM,2004,17646
V,AM,2005,17807
V,AM,2006,17989
V,AM,2007,18183
V,AM,2008,18324
V,AM,2009,18373
V,AM,2010,18444
V,AM,2011,18491
V,AM,2012,18541
V,AM,2013,18608
V,AM,2014,18680
V,AM,2015,18766
V,AM,2016,18871
V,AM,2017,19020
V,AM,2018,19232
V,AM,2019,19279
V,B,2000,475496
V,B,2001,486644
V,B,2002,499404
V,B,2003,514454
V,B,2004,534225
V,B,2005,550687
V,B,2006,570886
V,B,2007,591261
V,B,2008,614183
V,B,2009,637646
V,B,2010,660195
V,B,2011,678676
V,B,2012,694617
V,B,2013,710009
V,B,2014,725013
V,B,2015,741533
V,B,2016,760377
V,B,2017,780008
V,B,2018,802586
V,B,2019,807494
V,BTP,2000,1141
V,BTP,2001,1161
V,BTP,2002,1179
V,BTP,2003,1223
V,BTP,2004,1402
V,BTP,2005,1611
V,BTP,2006,1662
V,BTP,2007,1769
V,BTP,2008,1871
V,BTP,2009,2245
V,BTP,2010,2547
V,BTP,2011,2555
V,BTP,2012,2564
V,BTP,2013,2571
V,BTP,2014,3057
V,BTP,2015,3856
V,C,2000,6473
V,C,2001,6795
V,C,2002,7187
V,C,2003,7692
V,C,2004,8471
V,C,2005,9113
V,C,2006,10055
V,C,2007,11171
V,C,2008,12306
V,C,2009,13374
V,C,2010,14200
V,C,2011,14726
V,C,2012,15104
V,C,2013,15351
V,C,2014,15756
V,C,2015,16165
V,C,2016,16770
V,C,2017,17360
V,C,2018,18160
V,C,2019,18394
V,C1,2000,5676
V,C1,2001,5703
V,C1,2002,5723
V,C1,2003,5742
V,C1,2004,5759
V,C1,2005,5780
V,C1,2006,5816
V,C1,2007,5845
V,C1,2008,5875
V,C1,2009,5907
V,C1,2010,5953
V,C1,2011,5965
V,C1,2012,5972
V,C1,2013,5988
V,C1,2014,6000
V,C1,2015,6021
V,C1,2016,6028
V,C1,2017,6046
V,C1,2018,6073
V,C1,2019,6076
V,D ,2000,136
V,D ,2001,204
V,D ,2002,299
V,D ,2003,382
V,D ,2004,502
V,D ,2005,661
V,D ,2006,815
V,D ,2007,1014
V,D ,2008,1224
V,D ,2009,1435
V,D ,2010,1632
V,D ,2011,1796
V,D ,2012,1932
V,D ,2013,1993
V,D ,2014,2063
V,D ,2015,2144
V,D ,2016,2226
V,D ,2017,2317
V,D ,2018,2493
V,D ,2019,2545
V,D,2000,11226
V,D,2001,11390
V,D,2002,11618
V,D,2003,11838
V,D,2004,12172
V,D,2005,12479
V,D,2006,12842
V,D,2007,13188
V,D,2008,13637
V,D,2009,14067
V,D,2010,14494
V,D,2011,14784
V,D,2012,14983
V,D,2013,15124
V,D,2014,15296
V,D,2015,15467
V,D,2016,15686
V,D,2017,15909
V,D,2018,16205
V,D,2019,16287
V,D1,2000,19
V,D1,2001,20
V,D1,2002,24
V,D1,2003,27
V,D1,2004,28
V,D1,2005,32
V,D1,2006,33
V,D1,2007,35
V,D1,2008,41
V,D1,2009,44
V,D1,2010,46
V,D1,2013,50
V,D1,2014,53
V,D1,2015,64
V,D1,2016,71
V,D1,2017,78
V,D1,2018,89
V,LVA,2000,14
V,LVA,2015,15
V,LVA,2018,16
V,Otros,2000,42905
V,Otros,2001,45071
V,Otros,2002,47372
V,Otros,2003,49732
V,Otros,2004,52253
V,Otros,2005,54864
V,Otros,2006,57634
V,Otros,2007,60743
V,Otros,2008,63923
V,Otros,2009,66579
V,Otros,2010,68970
V,Otros,2011,70764
V,Otros,2012,72095
V,Otros,2013,73272
V,Otros,2014,74583
V,Otros,2015,75990
V,Otros,2016,76803
V,Otros,2017,77504
V,Otros,2018,78221
V,Otros,2019,78360
